,0
0,Sharp Objects
1,"In a Dark, Dark ..."
2,The Past Never Ends
3,A Murder in Time
4,The Murder of Roger ...
5,The Last Mile (Amos ...
6,That Darkness (Gardiner and ...
7,Tastes Like Fear (DI ...
8,A Time of Torment ...
9,A Study in Scarlet ...
10,Poisonous (Max Revere Novels ...
11,Murder at the 42nd ...
12,Most Wanted
13,Hide Away (Eve Duncan ...
14,Boar Island (Anna Pigeon ...
15,The Widow
16,Playing with Fire
17,What Happened on Beale ...
18,The Bachelor Girl's Guide ...
19,Delivering the Truth (Quaker ...
