N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"60,000",0,0.00%,100,"3,581,870","5,969,783",56.09,0,18.77,8.69,
2,SK하이닉스,"86,700",0,0.00%,"5,000","631,178","728,002",49.14,0,27.61,4.25,
3,NAVER,"286,000",0,0.00%,100,"469,793","164,263",55.69,0,66.67,10.56,
4,삼성바이오로직스,"686,000",0,0.00%,"2,500","453,892","66,165",10.19,0,132.15,4.77,
5,삼성전자우,"53,000",0,0.00%,100,"436,130","822,887",86.80,0,16.58,N/A,
6,LG화학,"615,000",0,0.00%,"5,000","434,143","70,592",38.15,0,106.02,1.84,
7,현대차,"168,000",0,0.00%,"5,000","358,963","213,668",31.23,0,24.21,4.32,
8,셀트리온,"255,500",0,0.00%,"1,000","344,909","134,994",20.69,0,86.17,11.19,
9,카카오,"353,000",0,0.00%,500,"311,515","88,248",31.97,0,-201.71,-5.81,
10,삼성SDI,"413,000",0,0.00%,"5,000","283,998","68,765",41.91,0,151.73,2.94,
11,LG생활건강,"1,562,000",0,0.00%,"5,000","243,956","15,618",45.51,0,35.62,20.32,
12,현대모비스,"222,500",0,0.00%,"5,000","211,497","95,055",43.57,0,12.12,7.28,
13,삼성물산,"103,000",0,0.00%,100,"192,494","186,887",13.99,0,18.00,4.77,
14,기아차,"46,700",0,0.00%,"5,000","189,305","405,363",38.63,0,17.78,6.50,
15,SK텔레콤,"232,500",0,0.00%,500,"187,734","80,746",35.49,0,19.08,3.92,
16,POSCO,"208,500",0,0.00%,"5,000","181,785","87,187",51.27,0,19.82,4.18,
17,엔씨소프트,"771,000",0,0.00%,500,"169,266","21,954",48.77,0,32.47,14.72,
18,KB금융,"40,700",0,0.00%,"5,000","169,234","415,808",65.67,0,5.32,8.92,
19,신한지주,"29,000",0,0.00%,"5,000","149,793","516,527",58.80,0,4.36,9.09,
20,LG전자,"89,100",0,0.00%,"5,000","145,810","163,648",35.28,0,35.75,0.22,
21,SK,"199,000",0,0.00%,200,"140,017","70,360",21.98,0,-383.43,4.31,
22,한국전력,"21,400",0,0.00%,"5,000","137,380","641,964",17.67,0,-14.91,-3.42,
23,삼성에스디에스,"174,000",0,0.00%,500,"134,637","77,378",12.21,0,25.83,11.76,
24,SK이노베이션,"136,500",0,0.00%,"5,000","126,215","92,466",23.78,0,-5.59,-0.20,
25,LG,"71,500",0,0.00%,"5,000","123,378","172,557",34.82,0,15.26,5.87,
26,삼성생명,"60,500",0,0.00%,500,"121,000","200,000",12.43,0,13.45,3.26,
27,SK바이오팜,"154,500",0,0.00%,500,"120,994","78,313",2.35,0,-140.45,-313.66,
28,넷마블,"133,000",0,0.00%,100,"114,171","85,843",22.69,0,55.03,3.54,
29,KT&G,"83,000",0,0.00%,"5,000","113,953","137,292",41.83,0,11.10,12.39,
30,삼성전기,"140,000",0,0.00%,"5,000","104,571","74,694",33.10,0,43.09,10.18,
31,아모레퍼시픽,"170,000",0,0.00%,500,"99,379","58,458",30.48,0,85.47,5.36,
32,하나금융지주,"29,950",0,0.00%,"5,000","89,922","300,242",63.72,0,3.55,8.77,
33,삼성화재,"187,000",0,0.00%,500,"88,591","47,375",46.84,0,14.29,4.85,
34,롯데케미칼,"223,000",0,0.00%,"5,000","76,434","34,275",28.58,0,42.55,5.51,
35,고려아연,"374,000",0,0.00%,"5,000","70,574","18,870",23.70,0,12.83,9.76,
36,한화솔루션,"43,200",0,0.00%,"5,000","69,061","159,864",19.60,0,-41.70,-4.02,
37,신풍제약,"128,500",0,0.00%,500,"68,086","52,985",9.64,0,"3,893.94",0.80,
38,현대글로비스,"174,500",0,0.00%,500,"65,438","37,500",35.26,0,11.89,11.25,
39,한온시스템,"12,250",0,0.00%,100,"65,390","533,800",20.71,0,39.26,14.98,
40,S-Oil,"57,900",0,0.00%,"2,500","65,185","112,583",73.68,0,-7.96,1.01,
41,빅히트,"189,000",0,0.00%,500,"63,969","33,846",3.30,0,N/A,56.47,
42,우리금융지주,"8,600",0,0.00%,"5,000","62,115","722,268",25.83,0,4.54,N/A,
43,기업은행,"8,220",0,0.00%,"5,000","60,718","738,664",10.70,0,3.93,7.36,
44,KT,"23,100",0,0.00%,"5,000","60,317","261,112",44.76,0,10.07,4.61,
45,코웨이,"78,800",0,0.00%,500,"58,154","73,800",61.18,0,16.57,30.74,
46,CJ제일제당,"385,500",0,0.00%,"5,000","58,034","15,054",23.44,0,9.71,3.16,
47,한국조선해양,"80,600",0,0.00%,"5,000","57,043","70,773",15.58,0,54.20,1.40,
48,LG디스플레이,"15,750",0,0.00%,"5,000","56,356","357,816",22.29,0,-1.94,-22.35,
49,미래에셋대우,"8,540",0,0.00%,"5,000","55,110","645,316",13.89,0,10.17,7.56,
50,LG유플러스,"11,650",0,0.00%,"5,000","50,865","436,611",31.22,0,10.17,6.30,
51,오리온,"128,500",0,0.00%,500,"50,804","39,536",43.75,0,19.17,14.24,
52,강원랜드,"22,400",0,0.00%,500,"47,923","213,940",24.22,0,-235.79,9.16,
53,KODEX 200,"31,300",0,0.00%,0,"47,279","151,050",6.47,0,N/A,N/A,
54,포스코케미칼,"77,300",0,0.00%,500,"47,144","60,988",7.44,0,91.16,11.57,
55,한진칼,"78,100",0,0.00%,"2,500","46,212","59,170",17.37,0,-12.02,-17.56,
56,이마트,"154,500",0,0.00%,"5,000","43,068","27,876",31.36,0,7.75,2.76,
57,CJ대한통운,"181,500",0,0.00%,"5,000","41,404","22,812",21.82,0,45.81,1.41,
58,유한양행,"61,700",0,0.00%,"1,000","41,251","66,857",21.20,0,24.89,2.43,
59,현대제철,"30,600",0,0.00%,"5,000","40,834","133,446",18.95,0,-15.18,0.10,
60,한국타이어앤테크놀로지,"32,900",0,0.00%,500,"40,755","123,875",38.12,0,13.75,6.03,
61,아모레G,"49,050",0,0.00%,500,"40,446","82,458",20.12,0,66.92,4.12,
62,금호석유,"132,000",0,0.00%,"5,000","40,217","30,468",33.02,0,15.10,11.84,
63,SK케미칼,"339,000",0,0.00%,"5,000","39,803","11,741",12.01,0,17.44,1.51,
64,한미사이언스,"59,900",0,0.00%,500,"39,541","66,011",1.82,0,139.63,4.73,
65,LG이노텍,"164,000",0,0.00%,"5,000","38,814","23,667",35.57,0,16.98,4.73,
66,맥쿼리인프라,"11,000",0,0.00%,0,"38,395","349,044",15.19,0,N/A,N/A,
67,한국금융지주,"67,800",0,0.00%,"5,000","37,782","55,726",31.00,0,6.41,18.14,
68,대한항공,"20,550",0,0.00%,"5,000","35,800","174,210",12.75,0,-3.06,-22.09,
69,현대건설,"31,900",0,0.00%,"5,000","35,522","111,356",20.25,0,10.56,6.30,
70,현대중공업지주,"223,500",0,0.00%,"5,000","35,310","15,799",17.63,0,-15.76,2.20,
71,삼성카드,"29,250",0,0.00%,"5,000","33,889","115,859",9.71,0,9.04,5.04,
72,두산중공업,"13,350",0,0.00%,"5,000","33,794","253,141",7.28,0,-2.86,-14.73,
73,한미약품,"278,500",0,0.00%,"2,500","32,983","11,843",14.10,0,91.49,7.30,
74,삼성중공업,"5,220",0,0.00%,"5,000","32,886","630,000",14.88,0,-1.80,-21.88,
75,에스원,"86,100",0,0.00%,500,"32,717","37,999",55.71,0,22.12,11.32,
76,더존비즈온,"107,500",0,0.00%,500,"32,085","29,847",44.91,0,67.10,18.78,
77,DB손해보험,"45,050",0,0.00%,500,"31,895","70,800",40.18,0,5.89,6.92,
78,GS,"34,200",0,0.00%,"5,000","31,777","92,915",19.92,0,-28.29,6.26,
79,롯데지주,"29,750",0,0.00%,200,"31,210","104,909",11.18,0,-4.49,-5.21,
80,현대차2우B,"83,900",0,0.00%,"5,000","30,611","36,485",61.85,0,12.09,N/A,
81,호텔신라,"77,200",0,0.00%,"5,000","30,300","39,248",21.05,0,-40.82,20.16,
82,두산밥캣,"29,700",0,0.00%,500,"29,774","100,249",21.40,0,16.27,7.05,
83,삼성증권,"32,900",0,0.00%,"5,000","29,380","89,300",25.35,0,9.03,8.15,
84,동서,"29,400",0,0.00%,500,"29,312","99,700",5.56,0,21.30,10.53,
85,한국가스공사,"31,450",0,0.00%,"5,000","29,032","92,313",8.63,0,-6.50,0.48,
86,쌍용양회,"5,630",0,0.00%,"1,000","28,367","503,860",2.88,0,21.25,7.02,
87,대림산업,"80,800",0,0.00%,"5,000","28,118","34,800",38.56,0,4.55,11.74,
88,GS리테일,"35,950",0,0.00%,"1,000","27,682","77,000",16.07,0,16.57,6.25,
89,SKC,"72,900",0,0.00%,"5,000","27,363","37,535",8.62,0,26.41,3.86,
90,롯데쇼핑,"95,500",0,0.00%,"5,000","27,016","28,289",11.51,0,-1.99,-8.14,
91,하이트진로,"37,500",0,0.00%,"5,000","26,300","70,134",10.78,0,38.74,-3.86,
92,NH투자증권,"9,290",0,0.00%,"5,000","26,143","281,409",13.63,0,6.08,9.12,
93,녹십자,"222,500",0,0.00%,"5,000","26,003","11,687",17.75,0,435.42,-0.35,
94,두산퓨얼셀,"46,000",0,0.00%,100,"25,527","55,494",8.84,0,70.12,N/A,
95,제일기획,"21,500",0,0.00%,200,"24,734","115,041",31.17,0,19.23,15.09,
96,대우조선해양,"23,000",0,0.00%,"5,000","24,657","107,206",9.00,0,-26.53,-1.22,
97,KODEX 200선물인버스2X,"4,120",0,0.00%,0,"24,650","598,300",2.14,0,N/A,N/A,
98,LG화학우,"320,000",0,0.00%,"5,000","24,604","7,689",56.88,0,55.16,N/A,
99,CJ,"80,800",0,0.00%,"5,000","23,575","29,177",19.04,0,15.70,6.24,
100,휠라홀딩스,"38,750",0,0.00%,"1,000","23,541","60,752",45.95,0,11.72,23.81,
101,TIGER 200,"31,295",0,0.00%,0,"23,190","74,100",1.91,0,N/A,N/A,
102,한샘,"98,400",0,0.00%,"1,000","23,157","23,534",23.61,0,44.28,7.32,
103,HMM,"7,000",0,0.00%,"5,000","22,871","326,726",7.06,0,-8.97,-55.46,
104,신세계,"225,000",0,0.00%,"5,000","22,152","9,845",27.12,0,-8.29,14.24,
105,BGF리테일,"128,000",0,0.00%,"1,000","22,123","17,284",30.97,0,17.08,26.46,
106,메리츠증권,"3,270",0,0.00%,"1,000","22,104","675,962",12.26,0,4.46,15.06,
107,한국항공우주,"22,600",0,0.00%,"5,000","22,029","97,475",14.18,0,14.10,15.84,
108,삼성엔지니어링,"11,000",0,0.00%,"5,000","21,560","196,000",29.11,0,8.34,24.62,
109,현대해상,"23,850",0,0.00%,500,"21,322","89,400",40.76,0,7.01,6.23,
110,GS건설,"26,450",0,0.00%,"5,000","21,186","80,098",27.56,0,5.55,11.79,
111,키움증권,"95,500",0,0.00%,"5,000","21,123","22,119",24.91,0,6.40,16.97,
112,KODEX 레버리지,"14,910",0,0.00%,0,"21,083","141,400",2.06,0,N/A,N/A,
113,KODEX 단기채권,"102,520",0,0.00%,0,"20,785","20,274",2.94,0,N/A,N/A,
